適用規格,調査名,調査目的,調査対象,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,測地系,コード1次,コード2次,コード3次,発注機関名称,調査期間_終了年月日,調査会社_名称,孔口標高,総掘進長,柱状図様式,掘進方向,岩石土区分_下端深度,岩石土区分_岩石土名,岩石土区分_岩石群コード,色調_下端深度,標準貫入試験_開始深度,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,孔内水位_孔内水位,バージョン変換情報,事業工事名,ボーリング名,ボーリング総数,取得方法コード,読取精度コード,調査期間_開始年月日,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,掘進角度,地盤勾配,試錐機_名称,試錐機_能力,試錐機_方法,エンジン_名称,ハンマー落下用具_コード,ハンマー落下用具_名称,N値記録用具_コード,N値記録用具_名称,ポンプ_名称,岩石土区分_岩石土記号,岩石土区分_岩石,色調_色調名,観察記事_上端深度,観察記事_下端深度,観察記事_記事,硬軟区分判定表_コード,硬軟区分判定表_記号,硬軟区分判定表_区分,硬軟区分判定表_説明,硬軟区分_下端深度,硬軟区分_硬軟区分,コア形状区分判定表_コード,コア形状区分判定表_記号,コア形状区分判定表_区分,コア形状区分判定表_説明,コア形状区分_下端深度,コア形状区分_コア形状区分,割れ目区分_下端深度,割れ目区分_割れ目区分,風化区分_下端深度,風化区分_風化区分,変質区分判定表_コード,変質区分判定表_記号,変質区分判定表_区分,変質区分判定表_説明,変質区分_下端深度,変質区分_変質区分,孔内水位_測定年月日,孔内水位_掘削状況コード,孔内水位_掘削状況,孔内水位_水位種別コード,掘削工程_測定年月日,掘削工程_掘進深度,掘削工程_ケーシング下端深度,孔径孔壁保護_下端深度,孔径孔壁保護_孔径,孔径孔壁保護_孔壁保護コード,孔径孔壁保護_孔壁保護実施理由,掘進速度_下端深度,掘進速度_掘進速度,コアチューブビット_下端深度,コアチューブビット_コアチューブ名,コアチューブビット_ビット名,給圧条件_下端深度,給圧条件_給圧,回転数_下端深度,回転数_回転数,送水条件_下端深度,送水条件_送水圧,送水条件_送水量,送水条件_排水量,送水条件_送水種類コード,コア採取率_下端深度,コア採取率_採取率,最大コア長_下端深度,最大コア長_コア長,RQD_下端深度,RQD_RQD,岩級区分判定表_項目名,岩級区分判定表_コード,岩級区分判定表_記号,岩級区分判定表_説明,岩級区分_下端深度,岩級区分_岩級区分,地質柱状図様式,ハンマ落下用具_コード,ハンマ落下用具_名称,岩石土区分_岩相,色調_状態,観察記事枠線_下端深度,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,標準貫入試験_10_20打撃回数,標準貫入試験_10_20貫入量,標準貫入試験_20_30打撃回数,標準貫入試験_20_30貫入量,孔内水平載荷試験_試験深度,孔内水平載荷試験_試験方法コード,孔内水平載荷試験_初期圧,孔内水平載荷試験_降伏圧,孔内水平載荷試験_変形係数,透水試験_上端深度,透水試験_下端深度,透水試験_試験コード,透水試験_試験方法,透水試験_透水係数,P波試験_上端深度,P波試験_下端深度,P波試験_速度,S波試験_上端深度,S波試験_下端深度,S波試験_速度,試料採取_上端深度,試料採取_下端深度,試料採取_試料番号,試料採取_採取方法コード,地質時代_上端深度,地質時代_下端深度,地質時代_地質時代名,地質時代_形成年代上限,地質時代_形成年代下限,孔径孔壁保護_孔壁保護方法,標準貫入試験_備考,座標定義,座標,エンジン_能力,エンジン_単位,ポンプ_能力,ポンプ_単位,櫓種類コード,相対密度稠度_下端深度,相対密度_コード,相対密度_状態,相対稠度_コード,相対稠度_状態,地層岩体区分_上端深度,地層岩体区分_下端深度,地層岩体区分_地層岩体名,割れ目区分判定表_コード,割れ目区分判定表_記号,割れ目区分判定表_区分,割れ目区分判定表_説明,風化区分判定表_コード,風化区分判定表_記号,風化区分判定表_区分,風化区分判定表_説明,孔内水平載荷試験_載荷パターン,断層破砕帯区分_上端深度,断層破砕帯区分_下端深度,断層破砕帯区分_性状コード,送水条件_送水種類,孔内水位_水位種別備考,取得方法説明,岩石土区分_変成岩岩石,試料採取_試験名,その他原位置試験_試験名,その他原位置試験_上端深度,その他原位置試験_下端深度,その他原位置試験_試験結果,掘進方位,P波試験_起振方式,S波試験_起振方式,試料採取_採取方法,保孔管_下端深度,保孔管_種別コード,保孔管_備考,フリー情報
JIS A 0206-2008,平成15年度　東海環状 岐阜三輪地区 地質調査,01,01,0004,136,49,20.0000,35,30,45.0000,1,5336,26,15,国土交通省中部地方整備局岐阜国道事務所,2003-11-17,日本物理探鑛株式会社,65.38,15.00,2,,15.00,泥岩,1,15.00,13.05,50,7,12.00,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),平成15年度　東海環状 岐阜三輪地区 地質調査,No.4,0015,02,0,2003-11-10,都築孝之,掛川崇史,掛川崇史,井戸口茂,,34.00,YBM-05DA,50,3,EA10-NE,2,半自動型,2,野張,VP-5,Ms,111300002,暗褐灰,13.50,15.00,泥岩基質の混在岩で、潜在的せん断面が発達する。\n灰色の珪質泥岩や砂岩をレンズ状、葉脈状に混在させる。\n亀裂多く、高角度の亀裂により分離し岩片状をなす。\n亀裂に沿って褐色化する。,015,E,極軟,マサ状、粘土状。,15.00,013,018,h,,コアの採取ができないもの。スライムも含む。,15.00,014,15.00,013,15.00,023,,,,,,,2003-11-14,1,,12,2003-11-14,15.00,13.00,13.00,86,2,,15.00,51,15.00,W,DB,15.00,5.0,15.00,120,15.00,18.0,10,10,2,15.00,100,15.00,12,15.00,12,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,15.00,950,,,,599200003,,15.00,50,7,28,6,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,6,kW,65,l/min,,,,,,,,,,,,,,,,,,,,,,,,,,,孔内水平載荷試験,8.50,8.50,-,,,,,,,,
JIS A 0206-2008,平成１２年度東海環状美濃関地区地質調査,01,01,9  ,136,54,3.3,35,31,7.546,1,5336,27,22,国土交通省 中部地方整備局 岐阜国道事務所,2001-03,株式会社東京ソイルリサーチ,53.45,8.44,1,000,008.44,玉石混り礫質土,1,008.44,008.15,50,29,004.50,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,2,,,,,GF,531100000,褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成４年度４１号下原改良地質調査（１５６号名津佐地区）,01,01,3  ,136,57,4.861,35,41,40.278,1,5336,47,36,国土交通省 中部地方整備局 岐阜国道事務所,1993-01,株式会社応用地学研究所名古屋事務所,184.01,17.00,2,000,017.00,硬岩,1,017.00,013.00,60,30,011.29,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,3,,,,,HR,999010002,黒灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015.50,02,10.00,48.00,11284.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１２年度東海環状美濃関地区地質調査,01,01,42 ,136,56,16.289,35,31,7.349,1,5336,27,25,国土交通省 中部地方整備局 岐阜国道事務所,2001-03,株式会社東京ソイルリサーチ,111.49,8.00,2,000,008.00,中硬岩,1,008.00,008.00,99,09,,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,2,,,,,MR,999010003,暗褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１３年度岐阜国道管内防災地質調査,01,01,15 ,136,51,47.466,35,51,41.702,1,5336,66,39,国土交通省 中部地方整備局 岐阜国道事務所,2002-02,朝日土質株式会社,340.84,5.28,1,000,005.28,玉石,1,005.28,005.15,50,13,002.30,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,2,,,,,B,510000010,暗褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,３８年度大垣バイパス地質調査,18,21,1  ,136,34,32.622,35,22,5.579,1,5336,04,46,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,,38.00,1,000,038.00,砂混り礫,1,038.00,024.40,53,30,,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,G-S,531112000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和５２年度犀川排水機場設計業務委託（地質調査）,08,01,4  ,136,41,28.385,35,22,26.087,1,5336,05,45,国土交通省 中部地方整備局 木曽川上流河川事務所,1978-03,セントラルコンサルタント株式会社,5.80,23.00,1,000,023.00,玉石混り礫質土,1,023.00,023.00,99,20,000.41,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,3,,,,,GF,531100000,暗黄褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成14年度　木尾・高谷砂防堰堤実施設計業務委託,08,10,4,136,27,35.4310,35,34,59.3810,1,5336,23,96,国土交通省中部地方整備局越美山系砂防工事事務所,2002-08-17,応用地質株式会社,165.59,8.00,2,0.00,8.00,頁岩,1,8.00,8.00,50,2,3.60,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),平成14年度　木尾・高谷砂防堰堤実施設計業務委託,No.4,8,02,0,2002-08-13,福山俊夫,澤田石智紀,澤田石智紀,佐藤幸二,0.00,.00,DOC,,2,NFP-9,9,その他（不明含む）,9,その他(不明含む),KP-40,Sh,111300012,濃灰,3.75,8.00,頁岩である。\nGL-3.75m～4.70mは、強風化した頁岩である。礫状～砂状を呈す。\nGL-4.70m～7.30mは、岩片状～短棒状を呈す、CL級岩盤である。亀裂は45°～80°が卓越し、亀裂沿いに褐色風化が認められる。\nGL-7.30m～8.00mは、5～10cmの棒状コアを呈すCH級岩盤である。非常に硬質である。亀裂は若干風化している程度である。亀裂は、40°～60°が多い。,015,E,極軟,マサ状、粘土状。,8.00,013,018,VIII,採取不可,コアの採取ができないもの。スライムも含む（記事欄に理由を書く）。,8.00,013,8.00,012,8.00,012,,,,,,,2002-08-16,3,,12,2002-08-16,8.00,,8.00,76,,,8.00,115,8.00,ダブルコアチューブ,ダイヤモンドビット,8.00,300.0,8.00,100,8.00,1.5,12,0,2,7.00,100,7.00,11,7.00,21,,,,,,,,,,126100000,,8.00,50,02,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１２年度東海環状糸貫地区地質調査,01,01,5  ,136,40,12.381,35,27,36.65,1,5336,15,53,国土交通省 中部地方整備局 岐阜国道事務所,2001-01,日本物理探鑛株式会社　中部支店,23.35,12.42,1,23.,012.42,玉石,1,012.42,012.15,50,22,,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,0,,,,,,2,,,,,B,510000010,褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,006.00,01,07.04,17.34,00331.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成15年度 156号岐阜東バイパス岩田山トンネル地質調査,01,05,0008,136,53,11.3000,35,49,53.1000,1,5336,57,90,国土交通省中部地方整備局岐阜国道事務所,2003-11-06,株式会社 建設企画コンサルタント,296.23,6.00,2,,6.00,泥岩,1,6.00,3.00,50,0,0.00,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),大和改良,No2,0012,01,1,2003-11-04,白石賢二,岡島信也,岡島信也,東海林充,0.00,0.00,DO-D,,,NS-9 L70A,2,半自動型,2,野張,MS651,Ms,111300002,黒灰,5.00,6.00,岩片状コア主体とし、30～60度方向の亀裂多い。,015,E,極軟,マサ状、粘土状。,6.00,013,980,h,採取不可,コアの採取ができないもの。スライムも含む。,6.00,940,6.00,930,6.00,930,940,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換されほとんど変質し、30％以下非変質部を残すのみで、原岩組織を全く～殆ど残さないもの。,6.00,910,2003-11-06,9,06,99,2003-11-06,6.00,3.00,6.00,66,9,その他,6.00,71,6.00,ダブル,ダイヤ,6.00,2.0,6.00,240,6.00,20.0,16,8,2,6.00,100,6.00,9,6.00,0,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,6.00,950,,,,,,,50,0,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１２年度東海環状糸貫地区地質調査,01,01,3  ,136,39,39.584,35,27,19.651,1,5336,15,42,国土交通省 中部地方整備局 岐阜国道事務所,2001-01,日本物理探鑛株式会社　中部支店,20.88,17.42,1,000,017.42,砂質土,1,017.42,017.15,50,27,007.35,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,2,,,,,SF,531200000,灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,006.00,01,11.12,27.54,00390.56,008.30,008.80,01,,1.10E-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,木曽川南派川渡試錐工事,18,21,1  ,136,48,40.849,35,21,37.603,1,5336,06,34,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,14.17,10.55,1,000,010.55,砂,1,010.55,010.30,50,25,,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,S,531211000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成14年度　木尾・高谷砂防堰堤実施設計業務委託,08,10,6,136,27,35.4300,35,35,10.3790,1,5336,33,06,国土交通省中部地方整備局越美山系砂防工事事務所,2002-09-03,応用地質株式会社,199.55,8.00,2,0.00,8.00,崖錐堆積物,1,8.00,8.15,40,30,6.60,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),平成14年度　木尾・高谷砂防堰堤実施設計業務委託,No.2(高谷),8,03,0,2002-09-01,福山俊夫,澤田石智紀,澤田石智紀,江草清次,0.00,.00,DOC,,2,NEP-9,9,その他（不明含む）,9,その他(不明含む),KP-40,Tl,,濃灰,0.25,8.00,崖錐堆積物である。\n全体的に礫を主体とし、一部に砂や粘土を含む区間も認められる。礫径はφ1cm～5cm程度であり、頁岩・砂岩・均質頁岩の礫である。\n粘土、砂を含む区間はGL-1.50m～1.80m、GL-2.60m～2.85m、GL-4.60m～4.95m、GL-5.45m～5.75mであり、黄褐色を呈す。\nこの区間は良く締まっており指圧では崩れない程度の硬さである。\n礫が密集しているGL-5.85m及びGL-6.50mは、掘進時に一時漏水が確認された。\nGL-7.00m掘進時に完全漏水が確認された。\nGL-7.00m～8.00mはロッドの上げ下げ時に孔壁への引っ掛かりを確認した。,,,,,,,,,,,,,,,,,,,,,,,2002-09-03,3,,12,2002-09-03,8.00,,7.60,76,,,8.00,96,7.60,ダブルコアチューブ,ダイヤモンドクラウン,8.00,525.0,8.00,60,8.00,0.0,14,0,2,,,,,,,,,,,,,,,,111000000,,8.00,13,10,13,10,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和５２年度犀川排水機場設計業務委託（地質調査）,08,01,6  ,136,41,31.385,35,22,26.087,1,5336,05,45,国土交通省 中部地方整備局 木曽川上流河川事務所,1978-03,セントラルコンサルタント株式会社,6.07,23.25,1,000,023.25,玉石混り礫質土,1,023.25,023.15,50,10,001.75,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,3,,,,,GF,531100000,暗褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.50,001.00,03,,8.45E-07,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１３年度岐阜国道管内防災地質調査,01,01,17 ,136,51,43.066,35,51,49.001,1,5336,66,38,国土交通省 中部地方整備局 岐阜国道事務所,2002-02,朝日土質株式会社,347.51,5.12,1,000,005.12,玉石,1,005.12,005.00,50,12,001.10,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,2,,,,,B,510000010,暗褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和４６年度岐阜東バイパス地質調査大垣地区杭瀬川,18,21,1  ,136,34,55.62,35,22,4.38,1,5336,04,46,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,8.34,12.50,1,000,012.50,砂利・礫混り砂,1,012.50,012.15,39,30,001.40,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,S,531211000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004.45,02,01.25,11.85,00123.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和４７年度日野及び那加桐野町地先地質調査,18,21,1  ,136,48,57.839,35,25,32.877,1,5336,16,15,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,20.57,20.45,1,000,020.45,火山灰質シルト,1,020.45,020.15,48,30,002.20,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,MV,532110060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１２年度東海環状美濃関地区地質調査,01,01,44 ,136,56,30.787,35,31,4.15,1,5336,27,25,国土交通省 中部地方整備局 岐阜国道事務所,2001-03,株式会社東京ソイルリサーチ,115.15,7.32,2,000,007.32,軟岩・風化岩,1,007.32,007.15,50,17,000.60,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,2,,,,,GF,531100000,暗黄褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成４年度１５６号名津佐地区地質調査,01,01,5  ,136,57,5.761,35,41,40.078,1,5336,47,36,国土交通省 中部地方整備局 岐阜国道事務所,1992-09,東邦地水株式会社名古屋支社,178.82,14.80,2,000,014.80,軟岩・風化岩,1,014.80,012.00,60,01,011.50,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,4,,,,,MR,999010003,暗褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成15年度　東海環状 岐阜三輪地区 地質調査,01,01,0012,136,50,13.0000,35,30,42.0000,1,5336,26,16,国土交通省中部地方整備局岐阜国道事務所,2003-11-27,日本物理探鑛株式会社,66.62,15.00,2,,15.00,チャート,1,15.00,12.00,50,0,13.00,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),平成15年度　東海環状 岐阜三輪地区 地質調査,No.12,0015,02,0,2003-11-19,都築孝之,掛川崇史,掛川崇史,簗瀬利周,,23.00,YBM-05DA,50,3,NFD-10K,2,半自動型,2,野張,VP-5,Cht,131000002,暗褐灰,14.20,15.00,14.2m以深、短柱状～岩片状コア主体となる。,015,E,極軟,マサ状、粘土状。,15.00,013,018,h,,コアの採取ができないもの。スライムも含む。,15.00,013,15.00,013,15.00,023,,,,,,,2003-11-26,3,,12,2003-11-26,15.15,15.00,11.00,86,2,,15.00,77,15.00,W,DB,15.00,2.0,15.00,120,15.00,18.0,15,5,2,15.00,100,15.00,8,15.00,0,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,15.00,640,,,,111000000,,15.00,50,0,3,10,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,7,kw,65,l/min,,,,,,,,,,,,,,,,,,,,,,,,,,,孔内水平載荷試験,4.00,4.00,-,,,,,,,,
JIS A 0206-2008,平成１０年度長良川・杭瀬川堤防詳細点検,08,09,25 ,136,43,45.367,35,25,13.471,1,5336,15,08,国土交通省 中部地方整備局 木曽川上流河川事務所,1999-01,（株）ダイヤコンサルタント,14.82,15.32,1,000,015.32,礫質土,1,015.32,015.15,50,17,008.25,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,9,,,,,GF,531100000,淡灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200002,,,,,,,,,,,,,,011.00,011.45,01,,1.18E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成15年 東海環状 岐阜三輪地区 地質調査,01,01,0006,136,49,49.0000,35,30,46.0000,1,5336,26,16,国土交通省中部地方建設局岐阜国道事務所,2003-11-14,日本物理探鑛株式会社,39.44,35.00,1,,35.00,砂礫,1,35.00,35.00,50,0,1.50,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),平成15年 東海環状 岐阜三輪地区 地質調査,No.6,0015,02,0,2003-11-10,都築孝之,掛川崇史,掛川崇史,大山美徳,,0.00,YBM-05DA,50,3,NFD-10K,3,トンビ法,2,野張,VP-5,GS,531120000,黄褐灰,20.30,35.00,礫はチャートであり、礫径はφ=5～15mmを主体とする。\n最大径φ=50mm程度の亜角～亜円礫が点在する。\n含水量多く、若干の粘性を有す。\nマトリクスは粘土混じり細砂であるが、所々細粒分多くコア状を呈す。\n\n[23.00]23.0m付近より、孔内水の少量の逸水が見られる。\n[24.00]24m付近、礫径小さくなり、φ=2～5mm主体となる。\n[24.50]24.6～24.7m間、礫の混入量多い。\n\n[29.00]28.85～29.35m間、粘土分が卓越し、色調は緑灰色を帯びる。\n\n\n[34.00]34.85m以深、暗褐色を呈し礫分やや少ない。,,,,,,,,,,,,,,,,,,,,,,,2003-11-10,1,,13,2003-11-14,35.00,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,50,0,14,10,19,10,,,,,,,,,,,,,,,,,10.00,10.85,6T-2,200,,,,,,,貫入不能,,,7,kW,65,l/min,,35.00,4,,0,,,,,,,,,,,,,,,,,,,,,物理力学,現場透水試験,22.00,22.50,8.10E-02,,,,,,,,
JIS A 0206-2008,昭和４６年度名濃バイパス第４工区地質調査,01,01,2  ,136,58,21.496,35,22,35.311,1,5336,07,57,国土交通省 中部地方整備局 愛知国道事務所,1971-10,サンコーコンサルタント株式会社名古屋支店,80.05,18.09,2,000,018.09,軟岩・風化岩,1,018.09,018.00,50,09,003.25,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,3,,,,,G-C,531113004,青緑灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和５１年度・加茂川排水機場地質調査,08,01,1  ,137,0,12.48,35,25,49.591,1,5337,10,10,国土交通省 中部地方整備局 木曽川上流河川事務所,1976-09,日本建設コンサルタント株式会社,61.06,12.00,1,000,012.00,中硬岩,1,012.00,012.00,99,20,004.80,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,3,,,,,MR,999010003,黒緑灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
